qiymət,yer,otaq_sayı,sahə,mərtəbə,yeni_tikili,təmirli,kupçalı,ipoteka,ünvan_tipi,mərtəbə_faktiki,mərtəbə_bina,mərtəbə_faizi,1_otaq_sahəsi
275000,8 Noyabr m.,4,154.0,18/19,1,1,1,1,m.,18,19,0.9473684210526315,38.5
209000,8 Noyabr m.,3,134.0,3/12,1,1,1,1,m.,3,12,0.25,44.666666666666664
157900,Xətai r.,2,80.0,3/15,1,1,1,1,r.,3,15,0.2,40.0
148000,İnşaatçılar m.,2,63.0,8/16,1,1,1,1,m.,8,16,0.5,31.5
635000,Elmlər Akademiyası m.,4,210.0,7/16,1,1,1,1,m.,7,16,0.4375,52.5
145000,Həzi Aslanov m.,2,84.0,6/17,1,1,1,1,m.,6,17,0.35294117647058826,42.0
280000,Şah İsmayıl Xətai m.,3,85.0,4/9,1,1,1,1,m.,4,9,0.4444444444444444,28.333333333333332
325000,Şah İsmayıl Xətai m.,3,125.0,6/20,1,1,1,1,m.,6,20,0.3,41.666666666666664
320000,28 May m.,3,130.0,19/19,1,1,1,1,m.,19,19,1.0,43.333333333333336
249900,Elmlər Akademiyası m.,3,95.0,4/15,1,1,1,1,m.,4,15,0.26666666666666666,31.666666666666668
460000,Elmlər Akademiyası m.,3,98.0,13/21,1,1,1,1,m.,13,21,0.6190476190476191,32.666666666666664
169000,İnşaatçılar m.,3,118.2,8/18,1,1,1,1,m.,8,18,0.4444444444444444,39.4
97000,Binəqədi q.,3,96.0,2/7,1,1,1,1,q.,2,7,0.2857142857142857,32.0
138000,9-cu mikrorayon q.,2,60.0,16/19,1,1,1,1,q.,16,19,0.8421052631578947,30.0
355000,Nəriman Nərimanov m.,3,150.0,12/16,1,1,1,1,m.,12,16,0.75,50.0
175000,Əhmədli q.,3,90.0,8/12,1,1,1,1,q.,8,12,0.6666666666666666,30.0
180000,Həzi Aslanov m.,3,102.0,10/16,1,1,1,1,m.,10,16,0.625,34.0
155000,İnşaatçılar m.,2,90.0,4/13,1,1,1,1,m.,4,13,0.3076923076923077,45.0
255000,Əhmədli m.,4,157.0,2/17,1,1,1,1,m.,2,17,0.11764705882352941,39.25
177000,9-cu mikrorayon q.,2,95.0,13/17,1,1,1,1,q.,13,17,0.7647058823529411,47.5
180000,Yeni Yasamal q.,3,135.0,10/12,1,1,1,1,q.,10,12,0.8333333333333334,45.0
170000,Həzi Aslanov m.,3,97.0,2/16,1,1,1,1,m.,2,16,0.125,32.333333333333336
112000,Bakıxanov q.,2,82.0,10/19,1,1,1,1,q.,10,19,0.5263157894736842,41.0
190000,Qaraçuxur q.,3,116.6,4/14,1,1,1,1,q.,4,14,0.2857142857142857,38.86666666666667
182000,İnşaatçılar m.,2,78.0,11/17,1,1,1,1,m.,11,17,0.6470588235294118,39.0
410000,İnşaatçılar m.,5,230.0,3/10,1,1,1,1,m.,3,10,0.3,46.0
250000,Şah İsmayıl Xətai m.,3,140.0,16/16,1,1,1,1,m.,16,16,1.0,46.666666666666664
228000,Şah İsmayıl Xətai m.,3,94.0,14/16,1,1,1,1,m.,14,16,0.875,31.333333333333332
225000,Şah İsmayıl Xətai m.,3,94.0,5/16,1,1,1,1,m.,5,16,0.3125,31.333333333333332
220000,Şah İsmayıl Xətai m.,3,105.0,8/18,1,1,1,1,m.,8,18,0.4444444444444444,35.0
355000,Nizami m.,3,130.0,8/16,1,1,1,1,m.,8,16,0.5,43.333333333333336
155000,Azadlıq Prospekti m.,2,82.0,13/16,1,1,1,1,m.,13,16,0.8125,41.0
220000,Neftçilər m.,3,120.0,18/19,1,1,1,1,m.,18,19,0.9473684210526315,40.0
320000,Badamdar q.,4,166.0,8/19,1,1,1,1,q.,8,19,0.42105263157894735,41.5
204800,Sabunçu r.,3,79.6,21/23,1,1,1,1,r.,21,23,0.9130434782608695,26.53333333333333
245000,Həzi Aslanov q.,4,155.0,7/19,1,1,1,1,q.,7,19,0.3684210526315789,38.75
95000,Əhmədli m.,2,51.0,6/19,1,1,1,1,m.,6,19,0.3157894736842105,25.5
127000,Azadlıq Prospekti m.,2,61.0,14/17,1,1,1,1,m.,14,17,0.8235294117647058,30.5
245000,Həzi Aslanov m.,4,125.0,9/18,1,1,1,1,m.,9,18,0.5,31.25
180000,Azadlıq Prospekti m.,2,70.0,8/17,1,1,1,1,m.,8,17,0.47058823529411764,35.0
205000,Nəriman Nərimanov m.,2,91.0,8/16,1,1,1,1,m.,8,16,0.5,45.5
118000,Əhmədli m.,2,118.0,14/20,1,1,1,1,m.,14,20,0.7,59.0
210000,Həzi Aslanov m.,3,110.0,11/16,1,1,1,1,m.,11,16,0.6875,36.666666666666664
187000,İnşaatçılar m.,3,120.0,9/17,1,1,1,1,m.,9,17,0.5294117647058824,40.0
255000,Azadlıq Prospekti m.,3,135.0,3/11,1,1,1,1,m.,3,11,0.2727272727272727,45.0
400000,Şah İsmayıl Xətai m.,3,140.0,7/7,1,1,1,1,m.,7,7,1.0,46.666666666666664
174000,Gənclik m.,2,70.0,8/19,1,1,1,1,m.,8,19,0.42105263157894735,35.0
110000,Yeni Yasamal q.,1,65.0,5/11,1,1,1,1,q.,5,11,0.45454545454545453,65.0
249000,İnşaatçılar m.,2,96.0,13/19,1,1,1,1,m.,13,19,0.6842105263157895,48.0
180000,Neftçilər m.,3,105.0,3/14,1,1,1,1,m.,3,14,0.21428571428571427,35.0
113000,Xətai r.,2,55.0,19/19,1,1,1,1,r.,19,19,1.0,27.5
185000,Yeni Yasamal q.,3,115.0,11/20,1,1,1,1,q.,11,20,0.55,38.333333333333336
120000,20 Yanvar m.,2,50.0,2/20,1,1,1,1,m.,2,20,0.1,25.0
138000,Xalqlar Dostluğu m.,2,82.0,15/19,1,1,1,1,m.,15,19,0.7894736842105263,41.0
115000,Əhmədli m.,3,75.0,11/20,1,1,1,1,m.,11,20,0.55,25.0
330000,Memar Əcəmi m.,4,190.0,9/10,1,1,1,1,m.,9,10,0.9,47.5
299000,Nəsimi r.,3,100.0,11/16,1,1,1,1,r.,11,16,0.6875,33.333333333333336
175000,Bakıxanov q.,2,72.8,10/14,1,1,1,1,q.,10,14,0.7142857142857143,36.4
169000,Əhmədli m.,3,100.0,11/18,1,1,1,1,m.,11,18,0.6111111111111112,33.333333333333336
294000,Həzi Aslanov q.,4,160.0,16/21,1,1,1,1,q.,16,21,0.7619047619047619,40.0
125000,Memar Əcəmi m.,2,47.0,8/19,1,1,1,1,m.,8,19,0.42105263157894735,23.5
126000,Memar Əcəmi m.,2,43.0,6/18,1,1,1,1,m.,6,18,0.3333333333333333,21.5
85000,Suraxanı r.,2,50.0,13/17,1,1,1,1,r.,13,17,0.7647058823529411,25.0
207000,Həzi Aslanov m.,3,125.0,10/16,1,1,1,1,m.,10,16,0.625,41.666666666666664
245000,Nəsimi r.,3,110.5,12/20,1,1,1,1,r.,12,20,0.6,36.833333333333336
360000,Nizami m.,3,135.0,19/21,1,1,1,1,m.,19,21,0.9047619047619048,45.0
126000,Badamdar q.,2,56.0,12/16,1,1,1,1,q.,12,16,0.75,28.0
183000,Yasamal r.,3,84.0,2/12,1,1,1,1,r.,2,12,0.16666666666666666,28.0
425000,Nəsimi r.,4,165.0,16/19,1,1,1,1,r.,16,19,0.8421052631578947,41.25
235000,İnşaatçılar m.,4,155.0,8/16,1,1,1,1,m.,8,16,0.5,38.75
210000,İnşaatçılar m.,2,90.0,13/17,1,1,1,1,m.,13,17,0.7647058823529411,45.0
210000,9-cu mikrorayon q.,3,111.0,7/16,1,1,1,1,q.,7,16,0.4375,37.0
250000,Bayıl q.,4,140.0,3/6,1,1,1,1,q.,3,6,0.5,35.0
137000,İnşaatçılar m.,2,62.0,9/16,1,1,1,1,m.,9,16,0.5625,31.0
198000,8 Noyabr m.,2,60.0,8/12,1,1,1,1,m.,8,12,0.6666666666666666,30.0
263000,Şah İsmayıl Xətai m.,3,133.0,6/18,1,1,1,1,m.,6,18,0.3333333333333333,44.333333333333336
110000,İnşaatçılar m.,1,52.0,5/10,1,1,1,1,m.,5,10,0.5,52.0
585000,28 May m.,5,360.0,12/15,1,1,1,1,m.,12,15,0.8,72.0
92000,Bakıxanov q.,3,82.1,19/20,1,1,1,1,q.,19,20,0.95,27.366666666666664
315000,20 Yanvar m.,3,142.0,12/16,1,1,1,1,m.,12,16,0.75,47.333333333333336
179000,Bakıxanov q.,3,116.0,2/20,1,1,1,1,q.,2,20,0.1,38.666666666666664
355000,Nəsimi r.,3,120.0,13/17,1,1,1,1,r.,13,17,0.7647058823529411,40.0
270000,Neftçilər m.,4,135.0,6/13,1,1,1,1,m.,6,13,0.46153846153846156,33.75
275000,Nizami r.,4,165.0,12/15,1,1,1,1,r.,12,15,0.8,41.25
137000,Həzi Aslanov m.,2,65.0,4/19,1,1,1,1,m.,4,19,0.21052631578947367,32.5
230000,8 Noyabr m.,3,128.0,13/17,1,1,1,1,m.,13,17,0.7647058823529411,42.666666666666664
277000,Elmlər Akademiyası m.,3,122.0,7/16,1,1,1,1,m.,7,16,0.4375,40.666666666666664
583000,Nəsimi r.,4,210.0,16/19,1,1,1,1,r.,16,19,0.8421052631578947,52.5
135000,20 Yanvar m.,2,55.0,16/19,1,1,1,1,m.,16,19,0.8421052631578947,27.5
257500,İnşaatçılar m.,3,120.0,7/17,1,1,1,1,m.,7,17,0.4117647058823529,40.0
120000,Yeni Yasamal q.,3,76.0,13/21,1,1,1,1,q.,13,21,0.6190476190476191,25.333333333333332
130000,Yeni Yasamal q.,2,82.0,11/18,1,1,1,1,q.,11,18,0.6111111111111112,41.0
355000,Nəsimi r.,3,118.0,12/17,1,1,1,1,r.,12,17,0.7058823529411765,39.333333333333336
83000,Həzi Aslanov m.,2,43.0,7/15,1,1,1,1,m.,7,15,0.4666666666666667,21.5
166500,Həzi Aslanov m.,2,89.0,10/14,1,1,1,1,m.,10,14,0.7142857142857143,44.5
299500,Nizami m.,3,140.0,3/15,1,1,1,1,m.,3,15,0.2,46.666666666666664
77000,Yeni Yasamal q.,2,55.0,13/13,1,1,1,1,q.,13,13,1.0,27.5
325000,Nəsimi r.,3,115.0,15/17,1,1,1,1,r.,15,17,0.8823529411764706,38.333333333333336
250000,İnşaatçılar m.,3,130.0,17/18,1,1,1,1,m.,17,18,0.9444444444444444,43.333333333333336
335000,Nəriman Nərimanov m.,4,150.0,5/18,1,1,1,1,m.,5,18,0.2777777777777778,37.5
75000,Hövsan q.,2,70.0,3/7,1,1,1,1,q.,3,7,0.42857142857142855,35.0
450000,Gənclik m.,4,201.0,8/13,1,1,1,1,m.,8,13,0.6153846153846154,50.25
67000,Masazır q.,2,53.3,4/6,1,1,1,1,q.,4,6,0.6666666666666666,26.65
270000,Nərimanov r.,3,135.5,10/12,1,1,1,1,r.,10,12,0.8333333333333334,45.166666666666664
125000,Həzi Aslanov m.,2,70.0,2/16,1,1,1,1,m.,2,16,0.125,35.0
147000,Nərimanov r.,2,80.0,6/6,1,1,1,1,r.,6,6,1.0,40.0
285000,Nərimanov r.,2,110.0,11/18,1,1,1,1,r.,11,18,0.6111111111111112,55.0
115000,Neftçilər m.,2,60.0,6/9,1,1,1,1,m.,6,9,0.6666666666666666,30.0
165000,Bayıl q.,2,74.0,14/18,1,1,1,1,q.,14,18,0.7777777777777778,37.0
180000,8-ci mikrorayon q.,2,68.0,8/17,1,1,1,1,q.,8,17,0.47058823529411764,34.0
118000,20 Yanvar m.,2,47.0,7/17,1,1,1,1,m.,7,17,0.4117647058823529,23.5
140000,Nəsimi m.,3,80.0,5/17,1,1,1,1,m.,5,17,0.29411764705882354,26.666666666666668
180000,Nizami m.,2,63.0,13/18,1,1,1,1,m.,13,18,0.7222222222222222,31.5
305000,Nəriman Nərimanov m.,3,100.0,9/16,1,1,1,1,m.,9,16,0.5625,33.333333333333336
118500,Həzi Aslanov m.,2,88.7,14/14,1,1,1,1,m.,14,14,1.0,44.35
180000,Azadlıq Prospekti m.,2,70.0,8/18,1,1,1,1,m.,8,18,0.4444444444444444,35.0
207000,Nizami r.,3,104.0,15/16,1,1,1,1,r.,15,16,0.9375,34.666666666666664
315000,20 Yanvar m.,3,141.0,12/16,1,1,1,1,m.,12,16,0.75,47.0
162000,20 Yanvar m.,3,98.0,16/20,1,1,1,1,m.,16,20,0.8,32.666666666666664
210000,Həzi Aslanov q.,3,109.0,19/19,1,1,1,1,q.,19,19,1.0,36.333333333333336
250000,İnşaatçılar m.,3,130.0,17/18,1,1,1,1,m.,17,18,0.9444444444444444,43.333333333333336
230000,Nəriman Nərimanov m.,3,117.0,18/19,1,1,1,1,m.,18,19,0.9473684210526315,39.0
136000,Azadlıq Prospekti m.,2,52.0,2/17,1,1,1,1,m.,2,17,0.11764705882352941,26.0
319000,Elmlər Akademiyası m.,3,150.0,12/17,1,1,1,1,m.,12,17,0.7058823529411765,50.0
188000,20 Yanvar m.,3,120.0,9/18,1,1,1,1,m.,9,18,0.5,40.0
100000,Həzi Aslanov m.,2,60.0,12/18,1,1,1,1,m.,12,18,0.6666666666666666,30.0
185000,Həzi Aslanov m.,4,130.0,12/17,1,1,1,1,m.,12,17,0.7058823529411765,32.5
175000,Şah İsmayıl Xətai m.,3,85.0,15/17,1,1,1,1,m.,15,17,0.8823529411764706,28.333333333333332
55000,Həzi Aslanov m.,1,45.0,1/10,1,1,1,1,m.,1,10,0.1,45.0
305000,8 Noyabr m.,4,140.0,9/17,1,1,1,1,m.,9,17,0.5294117647058824,35.0
425000,Nizami m.,4,220.0,15/20,1,1,1,1,m.,15,20,0.75,55.0
149000,Azadlıq Prospekti m.,3,125.0,2/12,1,1,1,1,m.,2,12,0.16666666666666666,41.666666666666664
225000,Səbail r.,3,107.0,12/16,1,1,1,1,r.,12,16,0.75,35.666666666666664
120000,İnşaatçılar m.,3,76.0,13/21,1,1,1,1,m.,13,21,0.6190476190476191,25.333333333333332
190000,Şah İsmayıl Xətai m.,2,82.0,5/15,1,1,1,1,m.,5,15,0.3333333333333333,41.0
110000,Əhmədli m.,2,50.0,2/20,1,1,1,1,m.,2,20,0.1,25.0
225000,Bayıl q.,3,118.0,4/5,1,1,1,1,q.,4,5,0.8,39.333333333333336
120000,İnşaatçılar m.,3,66.0,13/21,1,1,1,1,m.,13,21,0.6190476190476191,22.0
210000,Elmlər Akademiyası m.,2,103.0,5/17,1,1,1,1,m.,5,17,0.29411764705882354,51.5
205000,Badamdar q.,2,94.0,11/14,1,1,1,1,q.,11,14,0.7857142857142857,47.0
139000,Nəsimi m.,3,78.0,5/18,1,1,1,1,m.,5,18,0.2777777777777778,26.0
295000,8 Noyabr m.,3,135.0,12/20,1,1,1,1,m.,12,20,0.6,45.0
250000,İnşaatçılar m.,3,130.0,17/18,1,1,1,1,m.,17,18,0.9444444444444444,43.333333333333336
290000,8 Noyabr m.,3,130.0,10/14,1,1,1,1,m.,10,14,0.7142857142857143,43.333333333333336
355000,Nəsimi r.,3,121.0,12/18,1,1,1,1,r.,12,18,0.6666666666666666,40.333333333333336
164000,Həzi Aslanov m.,4,100.0,1/15,1,1,1,1,m.,1,15,0.06666666666666667,25.0
265000,20 Yanvar m.,4,145.0,5/18,1,1,1,1,m.,5,18,0.2777777777777778,36.25
287000,İnşaatçılar m.,3,155.5,8/16,1,1,1,1,m.,8,16,0.5,51.833333333333336
140000,İnşaatçılar m.,2,80.0,3/18,1,1,1,1,m.,3,18,0.16666666666666666,40.0
224000,Nərimanov r.,3,101.0,14/18,1,1,1,1,r.,14,18,0.7777777777777778,33.666666666666664
275000,İnşaatçılar m.,3,100.0,6/19,1,1,1,1,m.,6,19,0.3157894736842105,33.333333333333336
258000,Nərimanov r.,2,110.0,10/17,1,1,1,1,r.,10,17,0.5882352941176471,55.0
690000,Şah İsmayıl Xətai m.,5,226.0,12/24,1,1,1,1,m.,12,24,0.5,45.2
145000,Nəriman Nərimanov m.,2,50.0,12/16,1,1,1,1,m.,12,16,0.75,25.0
90000,Bakıxanov q.,2,51.0,3/19,1,1,1,1,q.,3,19,0.15789473684210525,25.5
248000,Bayıl q.,3,130.0,6/17,1,1,1,1,q.,6,17,0.35294117647058826,43.333333333333336
520000,Nəsimi r.,4,190.0,17/21,1,1,1,1,r.,17,21,0.8095238095238095,47.5
237000,Əhmədli q.,3,110.0,19/20,1,1,1,1,q.,19,20,0.95,36.666666666666664
460000,8 Noyabr m.,5,360.0,15/16,1,1,1,1,m.,15,16,0.9375,72.0
210000,8 Noyabr m.,3,100.5,14/20,1,1,1,1,m.,14,20,0.7,33.5
156000,Nərimanov r.,3,65.0,8/17,1,1,1,1,r.,8,17,0.47058823529411764,21.666666666666668
399000,8 Noyabr m.,4,208.0,6/14,1,1,1,1,m.,6,14,0.42857142857142855,52.0
258000,Gənclik m.,3,130.0,14/17,1,1,1,1,m.,14,17,0.8235294117647058,43.333333333333336
165000,8 Noyabr m.,3,85.0,7/18,1,1,1,1,m.,7,18,0.3888888888888889,28.333333333333332
225000,4-cü mikrorayon q.,3,116.0,7/11,1,1,1,1,q.,7,11,0.6363636363636364,38.666666666666664
130000,Nəriman Nərimanov m.,1,55.0,10/17,1,1,1,1,m.,10,17,0.5882352941176471,55.0
335000,Həzi Aslanov m.,4,146.0,12/19,1,1,1,1,m.,12,19,0.631578947368421,36.5
275000,Neftçilər m.,3,138.0,15/19,1,1,1,1,m.,15,19,0.7894736842105263,46.0
120000,Yeni Yasamal q.,3,70.0,13/21,1,1,1,1,q.,13,21,0.6190476190476191,23.333333333333332
398000,Nəsimi r.,4,156.0,3/15,1,1,1,1,r.,3,15,0.2,39.0
265000,8 Noyabr m.,3,112.0,8/14,1,1,1,1,m.,8,14,0.5714285714285714,37.333333333333336
199000,Badamdar q.,3,106.0,12/16,1,1,1,1,q.,12,16,0.75,35.333333333333336
220000,İnşaatçılar m.,3,120.0,20/23,1,1,1,1,m.,20,23,0.8695652173913043,40.0
168000,Həzi Aslanov m.,2,88.7,10/14,1,1,1,1,m.,10,14,0.7142857142857143,44.35
155000,İnşaatçılar m.,2,80.0,14/17,1,1,1,1,m.,14,17,0.8235294117647058,40.0
185000,Memar Əcəmi m.,2,93.0,8/10,1,1,1,1,m.,8,10,0.8,46.5
240000,8 Noyabr m.,3,127.0,13/17,1,1,1,1,m.,13,17,0.7647058823529411,42.333333333333336
180000,Memar Əcəmi m.,3,90.0,14/17,1,1,1,1,m.,14,17,0.8235294117647058,30.0
317000,8 Noyabr m.,3,175.0,12/18,1,1,1,1,m.,12,18,0.6666666666666666,58.333333333333336
177000,Xətai r.,2,88.0,15/19,1,1,1,1,r.,15,19,0.7894736842105263,44.0
285000,Şah İsmayıl Xətai m.,3,140.0,9/16,1,1,1,1,m.,9,16,0.5625,46.666666666666664
375000,Elmlər Akademiyası m.,3,132.0,17/19,1,1,1,1,m.,17,19,0.8947368421052632,44.0
219000,20 Yanvar m.,3,122.0,14/16,1,1,1,1,m.,14,16,0.875,40.666666666666664
172000,Nərimanov r.,3,90.0,9/19,1,1,1,1,r.,9,19,0.47368421052631576,30.0
90000,Həzi Aslanov q.,2,88.0,10/18,1,1,1,1,q.,10,18,0.5555555555555556,44.0
165000,İnşaatçılar m.,3,80.0,12/19,1,1,1,1,m.,12,19,0.631578947368421,26.666666666666668
530000,Şah İsmayıl Xətai m.,4,186.0,8/17,1,1,1,1,m.,8,17,0.47058823529411764,46.5
590000,Şah İsmayıl Xətai m.,5,226.0,12/24,1,1,1,1,m.,12,24,0.5,45.2
128000,Yeni Yasamal q.,2,70.0,17/22,1,1,1,1,q.,17,22,0.7727272727272727,35.0
275000,Nəriman Nərimanov m.,3,103.0,10/18,1,1,1,1,m.,10,18,0.5555555555555556,34.333333333333336
130000,Həzi Aslanov m.,2,70.0,5/17,1,1,1,1,m.,5,17,0.29411764705882354,35.0
450000,Ağ şəhər q.,3,125.5,6/6,1,1,1,1,q.,6,6,1.0,41.833333333333336
188000,Nərimanov r.,2,60.0,9/20,1,1,1,1,r.,9,20,0.45,30.0
360000,Nizami m.,3,135.0,19/21,1,1,1,1,m.,19,21,0.9047619047619048,45.0
201000,Nəriman Nərimanov m.,3,105.0,8/20,1,1,1,1,m.,8,20,0.4,35.0
174000,Xətai r.,3,86.0,10/19,1,1,1,1,r.,10,19,0.5263157894736842,28.666666666666668
315000,Nəsimi r.,3,150.5,13/18,1,1,1,1,r.,13,18,0.7222222222222222,50.166666666666664
419000,İnşaatçılar m.,4,235.0,10/17,1,1,1,1,m.,10,17,0.5882352941176471,58.75
275000,9-cu mikrorayon q.,3,147.0,15/18,1,1,1,1,q.,15,18,0.8333333333333334,49.0
255000,20 Yanvar m.,3,135.0,16/19,1,1,1,1,m.,16,19,0.8421052631578947,45.0
790000,Nizami m.,4,235.0,22/24,1,1,1,1,m.,22,24,0.9166666666666666,58.75
120900,İnşaatçılar m.,2,61.0,8/18,1,1,1,1,m.,8,18,0.4444444444444444,30.5
125000,Yeni Yasamal q.,2,62.0,13/17,1,1,1,1,q.,13,17,0.7647058823529411,31.0
355000,Nərimanov r.,3,120.0,12/17,1,1,1,1,r.,12,17,0.7058823529411765,40.0
220000,Şah İsmayıl Xətai m.,3,109.0,8/16,1,1,1,1,m.,8,16,0.5,36.333333333333336
320000,Ağ şəhər q.,2,103.0,7/7,1,1,1,1,q.,7,7,1.0,51.5
280000,20 Yanvar m.,3,130.2,14/20,1,1,1,1,m.,14,20,0.7,43.4
145000,Şah İsmayıl Xətai m.,2,63.0,2/16,1,1,1,1,m.,2,16,0.125,31.5
173000,Qara Qarayev m.,2,65.0,12/16,1,1,1,1,m.,12,16,0.75,32.5
157000,Şah İsmayıl Xətai m.,1,65.0,13/16,1,1,1,1,m.,13,16,0.8125,65.0
195000,Həzi Aslanov m.,3,101.0,13/17,1,1,1,1,m.,13,17,0.7647058823529411,33.666666666666664
